date,code,open,high,low,close,volume,amount
2019-01-02,sh.000905,4176.1090,4179.7230,4125.9350,4131.9560,4749444864,35572462336.0000
2019-01-03,sh.000905,4131.6940,4182.1980,4110.5270,4112.8070,5549124352,41103713280.0000
2019-01-04,sh.000905,4075.6210,4210.8780,4071.6890,4210.8780,7344873728,52230681344.0000
2019-01-07,sh.000905,4235.0340,4297.0230,4223.4580,4288.3230,8115344896,59231303936.0000
2019-01-08,sh.000905,4278.2800,4289.6270,4264.6000,4277.2960,6955693824,49700132352.0000
2019-01-09,sh.000905,4286.2310,4354.1980,4280.6550,4288.7710,8515359488,61510931968.0000
2019-01-10,sh.000905,4289.5590,4319.4940,4274.1950,4281.8600,6891088896,49243142144.0000
2019-01-11,sh.000905,4282.3930,4316.5410,4267.2880,4314.8750,6835508480,46599960064.0000
2019-01-14,sh.000905,4317.5230,4325.9470,4278.7610,4286.5470,6767961344,44765955584.0000
2019-01-15,sh.000905,4282.9860,4350.9330,4271.6360,4347.3550,7200518144,50608143360.0000
2019-01-16,sh.000905,4347.0750,4364.0960,4330.7430,4336.8770,6927474432,50030063872.0000
2019-01-17,sh.000905,4334.6300,4347.1780,4297.6680,4303.7300,7456211200,48421136128.0000
2019-01-18,sh.000905,4307.1380,4351.4380,4297.4770,4347.8110,8337161216,55476936192.0000
2019-01-21,sh.000905,4354.6990,4395.0630,4352.8100,4373.6330,7278153216,52937642752.0000
2019-01-22,sh.000905,4370.8560,4370.8560,4291.9620,4308.2510,6949667328,47826602496.0000
2019-01-23,sh.000905,4298.9380,4322.8890,4292.0870,4315.6840,5848573440,40571874304.0000
2019-01-24,sh.000905,4318.7090,4363.2180,4292.8290,4338.1700,7063030528,51572057856.0000
2019-01-25,sh.000905,4341.4130,4359.4630,4315.9520,4318.4410,7165747712,52504910592.0000
2019-01-28,sh.000905,4341.4920,4370.8980,4297.9630,4307.2190,6727993600,49287478016.0000
2019-01-29,sh.000905,4301.4690,4301.4690,4188.5940,4254.2870,7775372800,54223809280.0000
2019-01-30,sh.000905,4235.2740,4266.8810,4211.1900,4211.6230,5851376896,42466758400.0000
2019-01-31,sh.000905,4203.9770,4240.7160,4151.4140,4176.4730,7151120384,47694716160.0000
2019-02-01,sh.000905,4189.1090,4295.0370,4189.1090,4294.2690,6609967616,47693471488.0000
2019-02-11,sh.000905,4306.2000,4403.7280,4306.2000,4402.8660,7529735680,56743679232.0000
2019-02-12,sh.000905,4398.4420,4452.5000,4394.8330,4439.4850,8527115520,61588925184.0000
2019-02-13,sh.000905,4442.7270,4526.2690,4433.0270,4512.4080,11321890304,82940465152.0000
2019-02-14,sh.000905,4507.8400,4555.2330,4494.5520,4532.1690,9482853376,70164058112.0000
2019-02-15,sh.000905,4523.9440,4544.3860,4497.3850,4502.7340,9351160832,67254618880.0000
2019-02-18,sh.000905,4527.9680,4660.9990,4527.9680,4660.9990,12412400384,92189941760.0000
2019-02-19,sh.000905,4683.3250,4706.5250,4614.2770,4667.2830,14387476736,105704251392.0000
2019-02-20,sh.000905,4667.3530,4677.9770,4619.4600,4667.6240,12021313024,87303393280.0000
2019-02-21,sh.000905,4666.2810,4750.4180,4643.1090,4659.1430,14595111424,111329120256.0000
2019-02-22,sh.000905,4651.5380,4777.2970,4649.2150,4777.2970,14616614144,111540084736.0000
2019-02-25,sh.000905,4840.5430,5045.0750,4835.4820,5044.3460,24178358016,190541189120.0000
2019-02-26,sh.000905,5059.2840,5149.6220,5004.5520,5038.5430,26283326464,196257558528.0000
2019-02-27,sh.000905,5027.3870,5093.7950,4964.6230,5017.8840,20885408768,155472039936.0000
2019-02-28,sh.000905,5017.4400,5072.6680,4994.0500,5025.2910,15604287744,116972244992.0000
2019-03-01,sh.000905,5047.2270,5067.3060,4984.9930,5067.2250,14982832896,112765394944.0000
2019-03-04,sh.000905,5112.9510,5253.3880,5108.2820,5158.2460,23244686336,183781732352.0000
2019-03-05,sh.000905,5146.6200,5295.2870,5125.1540,5295.2870,20689126144,168045744128.0000
